Source,Target,Type,Weight
gericht,imperium,Undirected,1
gericht,cammer,Undirected,1
gericht,judicium,Undirected,1
gericht,annus,Undirected,2
end,urteil,Undirected,1
end,selectus,Undirected,1
end,sententia,Undirected,1
end,imperium,Undirected,1
end,cammer,Undirected,1
end,judicium,Undirected,1
end,annus,Undirected,2
urteil,selectus,Undirected,1
urteil,sententia,Undirected,1
urteil,imperium,Undirected,1
urteil,cammer,Undirected,1
urteil,judicium,Undirected,1
urteil,annus,Undirected,2
selectus,sententia,Undirected,1
selectus,imperium,Undirected,1
selectus,cammer,Undirected,1
selectus,judicium,Undirected,1
selectus,annus,Undirected,2
sententia,imperium,Undirected,1
sententia,cammer,Undirected,1
sententia,judicium,Undirected,1
sententia,annus,Undirected,2
imperium,cammer,Undirected,3
imperium,judicium,Undirected,1
imperium,annus,Undirected,2
judicium,annus,Undirected,2
annus,annus,Undirected,1
decisio,diuersus,Undirected,1
decisio,cammer,Undirected,1
decisio,imperium,Undirected,1
decisio,judico,Undirected,1
decisio,adjungo,Undirected,1
decisio,relatio,Undirected,1
decisio,actum,Undirected,1
diuersus,causa,Undirected,1
diuersus,cammer,Undirected,1
diuersus,imperium,Undirected,1
diuersus,judico,Undirected,1
diuersus,adjungo,Undirected,1
diuersus,relatio,Undirected,1
diuersus,actum,Undirected,1
causa,cammer,Undirected,1
causa,imperium,Undirected,1
causa,judico,Undirected,1
causa,adjungo,Undirected,1
causa,relatio,Undirected,1
causa,actum,Undirected,1
cammer,judico,Undirected,1
cammer,adjungo,Undirected,1
cammer,relatio,Undirected,1
cammer,actum,Undirected,1
imperium,judico,Undirected,1
imperium,adjungo,Undirected,1
imperium,relatio,Undirected,1
imperium,actum,Undirected,1
judico,adjungo,Undirected,1
judico,relatio,Undirected,1
judico,actum,Undirected,1
adjungo,relatio,Undirected,1
adjungo,actum,Undirected,1
relatio,actum,Undirected,1
alt,hesse,Undirected,2
alt,hof,Undirected,1
alt,gericht,Undirected,1
alt,ordnung,Undirected,1
alt,herr,Undirected,1
alt,land,Undirected,1
alt,graf,Undirected,1
alt,philipp,Undirected,1
hesse,hof,Undirected,1
hesse,gericht,Undirected,1
hesse,ordnung,Undirected,1
hesse,herr,Undirected,1
hesse,land,Undirected,1
hesse,graf,Undirected,1
hesse,philipp,Undirected,1
hesse,hesse,Undirected,1
hof,gericht,Undirected,1
hof,ordnung,Undirected,1
hof,herr,Undirected,1
hof,land,Undirected,1
hof,graf,Undirected,1
hof,philipp,Undirected,1
hof,hesse,Undirected,1
gericht,ordnung,Undirected,1
gericht,herr,Undirected,1
gericht,land,Undirected,1
gericht,graf,Undirected,1
gericht,philipp,Undirected,1
gericht,hesse,Undirected,1
ordnung,herr,Undirected,1
ordnung,land,Undirected,1
ordnung,graf,Undirected,1
ordnung,philipp,Undirected,1
ordnung,hesse,Undirected,1
herr,philipp,Undirected,1
land,philipp,Undirected,1
graf,philipp,Undirected,1
philipp,hesse,Undirected,1
corpus,jus,Undirected,2
corpus,civilis1,Undirected,1
corpus,nota,Undirected,1
corpus,gothofredus,Undirected,1
jus,civilis1,Undirected,5
jus,nota,Undirected,1
jus,gothofredus,Undirected,1
civilis1,nota,Undirected,1
civilis1,gothofredus,Undirected,1
nota,gothofredus,Undirected,1
biblia,schrift,Undirected,1
biblia,alt,Undirected,1
biblia,testament,Undirected,1
schrift,alt,Undirected,1
schrift,testament,Undirected,1
alt,testament,Undirected,1
corpus,canonicus,Undirected,1
corpus,emendatus,Undirected,1
corpus,illustratio,Undirected,1
jus,canonicus,Undirected,2
jus,emendatus,Undirected,1
jus,illustratio,Undirected,1
canonicus,emendatus,Undirected,1
canonicus,illustratio,Undirected,1
emendatus,illustratio,Undirected,1
processus2,cameralis,Undirected,2
processus2,ordinatio,Undirected,1
processus2,recessus2,Undirected,2
processus2,imperium,Undirected,2
processus2,memorial,Undirected,1
processus2,uisitatio,Undirected,1
processus2,consulo,Undirected,1
processus2,cammer,Undirected,1
processus2,communis,Undirected,1
processus2,decretum,Undirected,1
cameralis,ordinatio,Undirected,1
cameralis,cameralis,Undirected,1
cameralis,recessus2,Undirected,2
cameralis,imperium,Undirected,3
cameralis,memorial,Undirected,2
cameralis,uisitatio,Undirected,2
cameralis,consulo,Undirected,2
cameralis,cammer,Undirected,3
cameralis,communis,Undirected,2
cameralis,decretum,Undirected,2
cameralis,praecipuus,Undirected,2
ordinatio,cameralis,Undirected,1
ordinatio,recessus2,Undirected,1
ordinatio,imperium,Undirected,1
ordinatio,memorial,Undirected,1
ordinatio,uisitatio,Undirected,1
ordinatio,consulo,Undirected,1
ordinatio,cammer,Undirected,1
ordinatio,communis,Undirected,1
ordinatio,decretum,Undirected,1
ordinatio,praecipuus,Undirected,1
ordinatio,res,Undirected,1
cameralis,res,Undirected,1
recessus2,imperium,Undirected,2
recessus2,memorial,Undirected,1
recessus2,uisitatio,Undirected,1
recessus2,consulo,Undirected,1
recessus2,cammer,Undirected,2
recessus2,communis,Undirected,1
recessus2,decretum,Undirected,1
recessus2,praecipuus,Undirected,1
recessus2,res,Undirected,1
recessus2,scriptor,Undirected,1
imperium,memorial,Undirected,1
imperium,uisitatio,Undirected,1
imperium,consulo,Undirected,1
imperium,communis,Undirected,1
imperium,decretum,Undirected,1
imperium,praecipuus,Undirected,1
imperium,res,Undirected,1
imperium,scriptor,Undirected,1
memorial,uisitatio,Undirected,1
memorial,consulo,Undirected,1
memorial,cammer,Undirected,2
memorial,communis,Undirected,1
memorial,decretum,Undirected,1
memorial,praecipuus,Undirected,1
memorial,res,Undirected,1
memorial,scriptor,Undirected,1
uisitatio,consulo,Undirected,1
uisitatio,cammer,Undirected,2
uisitatio,communis,Undirected,1
uisitatio,decretum,Undirected,1
uisitatio,praecipuus,Undirected,1
uisitatio,res,Undirected,1
uisitatio,scriptor,Undirected,1
consulo,cammer,Undirected,2
consulo,communis,Undirected,1
consulo,decretum,Undirected,1
consulo,praecipuus,Undirected,1
consulo,res,Undirected,1
consulo,scriptor,Undirected,1
cammer,communis,Undirected,1
cammer,decretum,Undirected,1
cammer,praecipuus,Undirected,1
cammer,res,Undirected,1
cammer,scriptor,Undirected,2
communis,decretum,Undirected,1
communis,praecipuus,Undirected,1
communis,res,Undirected,1
communis,cammer,Undirected,1
communis,scriptor,Undirected,1
decretum,praecipuus,Undirected,1
decretum,res,Undirected,1
decretum,cammer,Undirected,1
decretum,scriptor,Undirected,1
