logFile 75
This log file was created on 08/22/2017, 14:23:47
['decisio', 'matthaeo_de_afflictis']
['additio', 'decisio']
['additio', 'utilissimus']
['totus', 'utilissimus']
['opus', 'totus']
['opus', 'plurimum']
['lux', 'plurimum']
['afferere', 'lux']
['afferere', 'annotatus']
['annotatus', 'ioannis_fichard']
['ioannis_fichard', 'recens']
['adjectus', 'recens']
['andrea_alciati', 'opus']
['andrea_alciati', 'omnis']
['dies', 'omnis']
['dies', 'prodire']
['opus', 'prodire']
['apparatus', 'decretum']
['jus', 'lexicon']
['feudum', 'usus']
['repetitio', 'solemnis']
['lex', 'solemnis']
['diffamo', 'lex']
['codex', 'diffamo']
['codex', 'ingenuus']
['ingenuus', 'manumissio']
['commendatio', 'manumissio']
['commendatio', 'joh_bendorpius']
['interdictum', 'tractatus']
['interdictum', 'usus']
['possido', 'usus']
['manutentio', 'possido']
['manutentio', 'possessio']
['contineo', 'possessio']
['contineo', 'quaestio']
['quaestio', 'utilis']
['praxi', 'utilis']
['praxi', 'theoricus']
['burdegalensis', 'decisio']
['accessere', 'burdegalensis']
['accessere', 'boerius']
['boerius', 'consilium']
['consilium', 'tractatus']
['seditiosus', 'tractatus']
['custodia', 'seditiosus']
['clavis', 'custodia']
['clavis', 'portus']
['civitas', 'portus']
['additio', 'civitas']
['additio', 'tractatus']
['ioan_montani', 'tractatus']
['authoritas', 'ioan_montani']
['authoritas', 'magnus']
['consilium', 'magnus']
['pandectes', 'repetitio']
['pandectes', 'pars']
['infortiatum', 'pars']
['digestum', 'infortiatum']
['digestum', 'novus']
['novus', 'vocare']
['consilium', 'responsum']
['commentarium', 'decretale']
['commentarium', 'summa']
['index', 'summa']
['index', 'res']
['res', 'verbum']
['memorabilis', 'verbum']
['locupletissimus', 'memorabilis']
['locupletissimus', 'universus']
['decretale', 'universus']
['decretale', 'materia']
['complecto', 'materia']
['capelle', 'decision']
['omnis', 'opus']
['casus', 'summa']
['decretale', 'summa']
['clementinus', 'decretale']
['conjectura', 'jus']
['civilis', 'jus']
['civilis', 'liber']
['difficilis', 'liber']
['difficilis', 'plerus']
['jus', 'plerus']
['jus', 'locus']
['locus', 'novus']
['emendatio', 'novus']
['emendatio', 'interpretatio']
['explicare', 'interpretatio']
['feudum', 'usus']
['collectanea', 'feudum']
['collectanea', 'methodica']
['methodica', 'tyronis']
['jus', 'tyronis']
['disciplina', 'jus']
['disciplina', 'versare']
['homagium', 'versare']
['homagium', 'opus']
['opus', 'praefatio']
['praefatio', 'subditus']
['accedo', 'subditus']
['accedo', 'quotidia']
['quotidia', 'usuvenientia']
['titulus', 'usuvenientia']
['codex', 'titulus']
['codex', 'justinianus']
['jus', 'justinianus']
['emphyteuticus', 'jus']
['emphyteuticus', 'succinctus']
['dilucidus', 'succinctus']
['dilucidus', 'enarratio']
['conclusio', 'enchiridion']
['conclusio', 'regula']
['jus', 'regula']
['donatus', 'jus']
['communis', 'conclusio']
['decisio', 'pedemontanus']
['caceseranus', 'pedemontanus']
['caceseranus', 'decisio']
['decisio', 'parisiensis']
['angeli_aretini', 'maleficium']
['angeli_aretini', 'inquirere']
['animadverto', 'inquirere']
['animadverto', 'criminis']
['criminis', 'opus']
['opus', 'utilis']
['necessarius', 'utilis']
['necessarius', 'omnis']
['contractus', 'omnis']
['alberti_de_gandino', 'contractus']
['alberti_de_gandino', 'bonifacii_de_vitalinis']
['apostillis', 'bonifacii_de_vitalinis']
['apostillis', 'augustini_ariminensis']
['augustini_ariminensis', 'hieronymi_chuchalon']
['appendix', 'hieronymi_chuchalon']
['appendix', 'subjicio']
['consilium', 'germanicus']
['germanicus', 'responsum']
['jus', 'responsum']
['consilium', 'jus']
['celeberrimus', 'consilium']
['academia', 'celeberrimus']
['academia', 'clarissimus']
['clarissimus', 'germania']
['germania', 'jurisconsultus']
['conscriptus', 'jurisconsultus']
['conscriptus', 'publicus']
['editor', 'publicus']
['editor', 'tomus']
['commentarium', 'varius']
['resolutio', 'varius']
['jus', 'resolutio']
['civilis', 'jus']
['civilis', 'communis']
['communis', 'regius']
['regius', 'tomus']
['decisio', 'sacer']
['regius', 'sacer']
['consilium', 'regius']
['consilium', 'neapolitanus']
['excellens', 'neapolitanus']
['excellens', 'vir']
['sacer', 'vir']
['consilium', 'sacer']
['consilium', 'regius']
['consiliarius', 'regius']
['collectus', 'consiliarius']
['collectus', 'matthaeo_de_afflictis']
['antonio_capycio', 'matthaeo_de_afflictis']
['antonio_capycio', 'thoma_grammaticus']
['postrema', 'thoma_grammaticus']
['editio', 'postrema']
['diligentius', 'editio']
['diligentius', 'recognitus']
['canonicus', 'corpus']
['canonicus', 'jus']
['glossa', 'jus']
['decretum', 'glossa']
['decretum', 'divus']
['divus', 'gratianus']
['gratianus', 'totus']
['jus', 'totus']
['canonicus', 'jus']
['canonicus', 'compendium']
['compendium', 'summus']
['pontifex', 'summus']
['decretum', 'pontifex']
['decretum', 'praejudicium']
['praejudicium', 'varius']
['scribere', 'varius']
['glossa', 'scribere']
['expositio', 'glossa']
['expositio', 'omnis']
['omnis', 'pristinus']
['nitor', 'pristinus']
['nitor', 'restitutus']
['fides', 'restitutus']
['fides', 'vetus']
['codex', 'vetus']
['jus', 'syntagma']
['jus', 'universus']
['petr_greg_tholosani', 'universus']
['utriusque', 'vocabularius']
['jus', 'utriusque']
['decisio', 'diffinitio']
['causa', 'diffinitio']
['causa', 'perusia']
['perusia', 'provincia']
['provincia', 'umbria']
['criminalis', 'practicus']
['decisio', 'dominus']
['dominus', 'rota']
['novus', 'rota']
['antiquus', 'novus']
['antiquior', 'antiquus']
['actio', 'classis']
['consilium', 'responsum']
['responsum', 'summa']
['index', 'summa']
['index', 'locupletissimus']
['aureus', 'consilium']
['aureus', 'pene']
['divinus', 'pene']
['divinus', 'responsum']
['responsum', 'utriusque']
['jus', 'utriusque']
['jus', 'praxim']
['ambiguitas', 'praxim']
['ambiguitas', 'explico']
['explico', 'totius']
['respublica', 'totius']
['respublica', 'summum']
['gratia', 'summum']
['determinare', 'gratia']
['feudalis', 'tractatus']
['causa', 'decisio']
['alius', 'causa']
['alius', 'auditor']
['auditor', 'rota']
['rota', 'sacrum']
['palatium', 'sacrum']
['palatium', 'relatus']
['collectus', 'relatus']
['collectus', 'liber']
['divisus', 'liber']
['commentarium', 'titulus']
['digestum', 'titulus']
['digestum', 'verbum']
['res', 'verbum']
['res', 'significatio']
['commentarium', 'constitutio']
['constitutio', 'ordinatio']
['ordinatio', 'regius']
['cura', 'regius']
['audomari_rebuffo', 'cura']
['immunitas', 'privilegium']
['immunitas', 'universitas']
['doctor', 'universitas']
['doctor', 'magister']
['magister', 'studiosus']
['commentatio', 'studiosus']
['commentatio', 'enucleatissimus']
['authenticus', 'enucleatissimus']
['authenticus', 'habitus']
['filius', 'habitus']
['filius', 'patrepater']
