Source,Target,Type,Weight
accipio,sententia,Undirected,1
accipio,communis,Undirected,1
accipio,opinio,Undirected,1
accipio,jus,Undirected,1
sententia,communis,Undirected,1
sententia,opinio,Undirected,1
sententia,jus,Undirected,1
communis,opinio,Undirected,1
communis,jus,Undirected,1
opinio,jus,Undirected,1
consilium,feudalis,Undirected,1
consilium,varius1,Undirected,1
consilium,scriptus,Undirected,1
consilium,diligens,Undirected,2
consilium,collectus,Undirected,2
feudalis,varius1,Undirected,1
feudalis,scriptus,Undirected,1
feudalis,diligens,Undirected,1
feudalis,collectus,Undirected,1
varius1,scriptus,Undirected,1
varius1,diligens,Undirected,1
varius1,collectus,Undirected,1
scriptus,diligens,Undirected,1
scriptus,collectus,Undirected,1
diligens,collectus,Undirected,1
consilium,tres,Undirected,1
consilium,socinus,Undirected,1
tres,socinus,Undirected,1
corpus,canonicus,Undirected,2
corpus,jus,Undirected,4
corpus,glossa,Undirected,5
canonicus,jus,Undirected,2
canonicus,glossa,Undirected,3
jus,glossa,Undirected,5
corpus,civilis1,Undirected,2
jus,civilis1,Undirected,5
civilis1,glossa,Undirected,2
decretales,nota,Undirected,1
decretales,membrana,Undirected,1
decretales,describo,Undirected,1
nota,membrana,Undirected,1
nota,describo,Undirected,1
membrana,describo,Undirected,1
decretum,glossa,Undirected,3
responsum,jus,Undirected,4
responsum,causa,Undirected,1
responsum,land,Undirected,1
responsum,graf,Undirected,1
jus,causa,Undirected,1
jus,land,Undirected,1
jus,graf,Undirected,1
causa,land,Undirected,1
causa,graf,Undirected,1
land,graf,Undirected,1
sextus1,decretales,Undirected,1
uolumen,pertineo,Undirected,1
uolumen,decretum,Undirected,1
pertineo,decretum,Undirected,1
ordino,judicium,Undirected,1
corpus,digestum,Undirected,1
corpus,novus,Undirected,1
corpus,ordinarius,Undirected,1
corpus,accursius,Undirected,1
corpus,florentinus,Undirected,1
jus,digestum,Undirected,1
jus,novus,Undirected,2
jus,ordinarius,Undirected,1
jus,accursius,Undirected,1
jus,florentinus,Undirected,1
civilis1,digestum,Undirected,1
civilis1,novus,Undirected,2
civilis1,ordinarius,Undirected,1
civilis1,accursius,Undirected,1
civilis1,florentinus,Undirected,1
digestum,novus,Undirected,2
digestum,glossa,Undirected,1
digestum,ordinarius,Undirected,1
digestum,accursius,Undirected,1
digestum,florentinus,Undirected,1
novus,glossa,Undirected,1
novus,ordinarius,Undirected,1
novus,accursius,Undirected,1
novus,florentinus,Undirected,1
glossa,ordinarius,Undirected,1
glossa,accursius,Undirected,1
glossa,florentinus,Undirected,1
ordinarius,accursius,Undirected,1
ordinarius,florentinus,Undirected,1
accursius,florentinus,Undirected,1
liber4,feudum,Undirected,1
decisio,neapolitanus,Undirected,3
decisio,antiquus,Undirected,3
decisio,novus,Undirected,2
decisio,summa,Undirected,1
decisio,auctoritas,Undirected,1
decisio,matthaeus,Undirected,3
decisio,affligo,Undirected,2
decisio,antonius,Undirected,1
decisio,capucium,Undirected,1
decisio,utriusque,Undirected,1
decisio,jus,Undirected,1
decisio,doctor,Undirected,1
decisio,communis,Undirected,1
decisio,concordia1,Undirected,1
decisio,concilium,Undirected,1
decisio,senator,Undirected,1
decisio,voveo,Undirected,1
decisio,suffragium,Undirected,1
decisio,summum,Undirected,1
decisio,diligo,Undirected,1
decisio,singularis,Undirected,1
decisio,judicium,Undirected,1
decisio,collectus,Undirected,3
decisio,accedo,Undirected,2
decisio,praeterea,Undirected,1
decisio,thoma,Undirected,2
decisio,grammaticus,Undirected,2
decisio,itidem,Undirected,1
decisio,praedico2,Undirected,1
decisio,additio,Undirected,2
decisio,utilis,Undirected,1
decisio,totus1,Undirected,1
decisio,opus1,Undirected,1
decisio,multus,Undirected,1
decisio,lucus1,Undirected,1
decisio,afferre,Undirected,1
decisio,annotatio,Undirected,1
decisio,iohannis,Undirected,2
decisio,fichard,Undirected,1
decisio,frankfurt,Undirected,1
decisio,recens,Undirected,1
decisio,adicio,Undirected,1
neapolitanus,antiquus,Undirected,1
neapolitanus,novus,Undirected,1
neapolitanus,summa,Undirected,1
neapolitanus,auctoritas,Undirected,1
neapolitanus,matthaeus,Undirected,4
neapolitanus,affligo,Undirected,2
neapolitanus,antonius,Undirected,1
neapolitanus,capucium,Undirected,1
neapolitanus,utriusque,Undirected,1
neapolitanus,jus,Undirected,1
neapolitanus,doctor,Undirected,1
neapolitanus,communis,Undirected,1
neapolitanus,concordia1,Undirected,1
neapolitanus,concilium,Undirected,1
neapolitanus,senator,Undirected,1
neapolitanus,voveo,Undirected,1
neapolitanus,suffragium,Undirected,1
neapolitanus,summum,Undirected,1
neapolitanus,diligo,Undirected,1
neapolitanus,singularis,Undirected,1
neapolitanus,judicium,Undirected,1
neapolitanus,collectus,Undirected,2
neapolitanus,accedo,Undirected,1
neapolitanus,praeterea,Undirected,1
neapolitanus,thoma,Undirected,2
neapolitanus,grammaticus,Undirected,2
neapolitanus,itidem,Undirected,1
neapolitanus,neapolitanus,Undirected,1
neapolitanus,praedico2,Undirected,2
neapolitanus,additio,Undirected,2
