Source,Target,Type,Weight
antonio_capycio,matthaeo_de_afflictis,Undirected,1
usucapio,verbum,Undirected,1
alberti_de_gandino,bonifacii_de_vitalinis,Undirected,1
animadverto,inquirere,Undirected,1
commentarium,decretale,Undirected,1
fides,restitutus,Undirected,1
novus,summus,Undirected,1
commentarium,jus,Undirected,1
hofgericht,ordnung,Undirected,1
imperator,justinianus,Undirected,1
genus,natura,Undirected,1
argumentum,decretum,Undirected,1
affinitas,consanguinitas,Undirected,1
digestum,pandectes,Undirected,1
primus,tomus,Undirected,1
cura,delatus,Undirected,1
scribere,varius,Undirected,1
lex,volumen,Undirected,1
infortiatum,pars,Undirected,1
explicare,tradere,Undirected,1
commentarium,titulus,Undirected,1
imperialis,sententia,Undirected,1
antiquior,antiquus,Undirected,1
nitor,restitutus,Undirected,1
andrea_alciati,opus,Undirected,1
descriptus,membrana,Undirected,1
commendatio,manumissio,Undirected,1
antonio_capycio,thoma_grammaticus,Undirected,1
celeberrimus,consilium,Undirected,1
commentarium,varius,Undirected,1
annum,judicium,Undirected,1
cameralis,processus,Undirected,1
consilium,germanicus,Undirected,1
selectissimum,urteil,Undirected,1
biblia,ganz,Undirected,1
augustini_ariminensis,hieronymi_chuchalon,Undirected,1
cameralis,scriptor,Undirected,1
dominus,rota,Undirected,1
collectus,liber,Undirected,1
noster,papa,Undirected,1
consilia,socinus,Undirected,1
locupletissimus,summa,Undirected,1
camera,consultum,Undirected,1
ioan_montani,tractatus,Undirected,1
decisio,diffinitio,Undirected,1
caceseranus,pedemontanus,Undirected,1
omnis,pristinus,Undirected,1
glossator,index,Undirected,1
liber,nominum,Undirected,1
judicium,singularus,Undirected,1
praefatio,subditus,Undirected,1
decisio,parisiensis,Undirected,1
gothofredus,nota,Undirected,1
camera,causa,Undirected,1
dilucidus,succinctus,Undirected,1
res,significatio,Undirected,1
collectanea,feudum,Undirected,1
liber,pandectes,Undirected,1
glossa,ordinarius,Undirected,1
suffragium,votum,Undirected,1
praxi,theoricus,Undirected,1
commissarius,tractatus,Undirected,1
camera,communis,Undirected,1
accedo,jurisconsultus,Undirected,1
decretum,plennissimus,Undirected,1
canonicus,recessus,Undirected,1
regius,sacer,Undirected,1
praejudicium,varius,Undirected,1
judicarius,processus,Undirected,1
decisio,dominus,Undirected,1
custodia,seditiosus,Undirected,1
consilium,neapolitanus,Undirected,1
diffamo,lex,Undirected,1
totus,utilissimus,Undirected,1
canonicus,corpus,Undirected,2
dilucidus,explanatio,Undirected,1
index,summa,Undirected,2
dominus,sanctissimus,Undirected,1
canonicus,compendium,Undirected,1
resolutio,varius,Undirected,1
respublica,summum,Undirected,1
decum,sedes,Undirected,1
gebrueder,landgraf,Undirected,1
collectanea,methodica,Undirected,1
adjunctus,relatio,Undirected,1
decretum,omnis,Undirected,1
decretale,epistola,Undirected,1
annotatio,vivus,Undirected,1
infortiatum,pandectes,Undirected,1
justinianus,volumen,Undirected,1
appellere,egidio_perrino,Undirected,1
neapolitanus,"thoma_grammaticus,",Undirected,1
novus,rota,Undirected,1
jus,lexicon,Undirected,1
conclusio,regula,Undirected,1
burdegalensis,decisio,Undirected,1
codex,titulus,Undirected,1
divisus,liber,Undirected,2
opus,utilis,Undirected,1
commissarius,commissio,Undirected,1
filius,patrepater,Undirected,1
communis,opinio,Undirected,1
fasciculus,tempus,Undirected,1
jus,syntagma,Undirected,1
clavis,custodia,Undirected,1
divisio,gratianus,Undirected,1
interdictum,tractatus,Undirected,1
sacer,vir,Undirected,1
editio,tertius,Undirected,1
appellere,vetus,Undirected,1
index,ludouici_bolognini,Undirected,1
accedo,subditus,Undirected,1
conscriptus,jurisconsultus,Undirected,1
hodiernis,mos,Undirected,1
imperialis,judicatus,Undirected,1
difficilis,plerus,Undirected,1
accursius_florentinus,ordinarius,Undirected,1
jus,praxim,Undirected,1
hessisch,hofgericht,Undirected,1
camera,judicium,Undirected,1
possessio,usucapio,Undirected,1
arbor,consanguinitas,Undirected,1
decum,leo,Undirected,1
dilucidus,patrepater,Undirected,1
jus,resolutio,Undirected,1
compendium,summus,Undirected,1
scriptus,varius,Undirected,1
decretale,materia,Undirected,1
divisus,judex,Undirected,1
gratianus,totus,Undirected,1
decretum,praejudicium,Undirected,1
angeli_aretini,maleficium,Undirected,1
civilis,nota,Undirected,1
accedere,collectus,Undirected,1
gehalten,reichstag,Undirected,1
cura,johann_jacob_von_ryssel,Undirected,1
additio,decisio,Undirected,1
digestum,infortiatum,Undirected,1
canonicus,civilis,Undirected,1
jus,tyronis,Undirected,1
authoritas,magnus,Undirected,1
editor,publicus,Undirected,1
concilium,concors,Undirected,1
omnis,opus,Undirected,2
memorialis,recessus,Undirected,1
judicium,tractatus,Undirected,1
divisio,dominus,Undirected,1
decretale,liber,Undirected,1
antiquus,novus,Undirected,2
res,verbum,Undirected,2
feudum,liber,Undirected,1
provincia,umbria,Undirected,1
expositio,glossa,Undirected,1
emendatio,interpretatio,Undirected,1
argumentum,plennissimus,Undirected,1
commentarium,digestum,Undirected,1
praxi,utilis,Undirected,1
alt,neu,Undirected,1
consarcino,pandectes,Undirected,1
accessere,burdegalensis,Undirected,1
editio,postrema,Undirected,1
civilis,liber,Undirected,1
marburg,sache,Undirected,1
judicium,ordinare,Undirected,1
pertinere,volumen,Undirected,1
quaestio,utilis,Undirected,1
additio,utilissimus,Undirected,1
obligatio,verbum,Undirected,1
appendix,hieronymi_chuchalon,Undirected,1
dirigere,lector,Undirected,1
homagium,opus,Undirected,1
digestum,jus,Undirected,1
immunitas,privilegium,Undirected,1
corpus,jus,Undirected,4
suffragium,summum,Undirected,1
membrana,nota,Undirected,1
accessere,boerius,Undirected,1
ander,teil,Undirected,1
glossa,jus,Undirected,2
causa,diversus,Undirected,1
digestum,novum,Undirected,1
justinianus,vetus,Undirected,1
causa,perusia,Undirected,1
disciplina,jus,Undirected,1
arbor,arcidiaconus,Undirected,1
immunitas,universitas,Undirected,1
necessarius,omnis,Undirected,1
communis,conclusio,Undirected,1
decretale,universus,Undirected,1
observatio,practicus,Undirected,1
aureus,consilium,Undirected,1
