Source,Target,Type,Weight
alciati,omne,Undirected,1
alciati,usque,Undirected,1
alciati,sparsim,Undirected,1
omne,usque,Undirected,1
omne,sparsim,Undirected,1
omne,prodeo,Undirected,1
usque,sparsim,Undirected,1
usque,prodeo,Undirected,1
usque,usquam,Undirected,1
sparsim,prodeo,Undirected,1
sparsim,usquam,Undirected,1
prodeo,usquam,Undirected,1
appario,vis,Undirected,1
appario,decretum,Undirected,1
vis,decretum,Undirected,1
lexicon,jus,Undirected,1
usus2,feudum,Undirected,1
repetitio,solemnis,Undirected,1
repetitio,diffamare,Undirected,1
repetitio,codex,Undirected,1
solemnis,diffamare,Undirected,1
solemnis,codex,Undirected,1
solemnis,inge,Undirected,1
diffamare,codex,Undirected,1
diffamare,inge,Undirected,1
diffamare,manumissio,Undirected,1
codex,inge,Undirected,1
codex,manumissio,Undirected,1
codex,commendatio,Undirected,1
inge,manumissio,Undirected,1
inge,commendatio,Undirected,1
inge,iohannis,Undirected,1
manumissio,commendatio,Undirected,1
manumissio,iohannis,Undirected,1
manumissio,bendorpii,Undirected,1
commendatio,iohannis,Undirected,1
commendatio,bendorpii,Undirected,1
iohannis,bendorpii,Undirected,1
tractatus,interdictum,Undirected,1
tractatus,uto,Undirected,1
tractatus,possideo,Undirected,1
interdictum,uto,Undirected,1
interdictum,possideo,Undirected,1
interdictum,manutentio,Undirected,1
uto,possideo,Undirected,1
uto,manutentio,Undirected,1
uto,possessio,Undirected,1
possideo,manutentio,Undirected,1
possideo,possessio,Undirected,1
possideo,contineo,Undirected,1
manutentio,possessio,Undirected,1
manutentio,contineo,Undirected,1
manutentio,quaestio,Undirected,1
possessio,contineo,Undirected,1
possessio,quaestio,Undirected,1
possessio,utilis,Undirected,1
contineo,quaestio,Undirected,1
contineo,utilis,Undirected,1
contineo,praxis,Undirected,1
quaestio,utilis,Undirected,1
quaestio,praxis,Undirected,1
quaestio,theoria,Undirected,1
utilis,praxis,Undirected,1
utilis,theoria,Undirected,1
praxis,theoria,Undirected,1
decisio,burdegalenses,Undirected,1
decisio,nunc,Undirected,1
decisio,accedo,Undirected,1
burdegalenses,nunc,Undirected,1
burdegalenses,accedo,Undirected,1
burdegalenses,boerii,Undirected,1
nunc,accedo,Undirected,1
nunc,boerii,Undirected,1
nunc,consilium,Undirected,1
accedo,boerii,Undirected,1
accedo,consilium,Undirected,1
accedo,tractatus,Undirected,1
boerii,consilium,Undirected,1
boerii,tractatus,Undirected,1
boerii,seditiosus,Undirected,1
consilium,tractatus,Undirected,1
consilium,seditiosus,Undirected,1
consilium,custodia,Undirected,1
tractatus,seditiosus,Undirected,1
tractatus,custodia,Undirected,1
tractatus,clauis,Undirected,1
seditiosus,custodia,Undirected,1
seditiosus,clauis,Undirected,1
seditiosus,porta,Undirected,1
custodia,clauis,Undirected,1
custodia,porta,Undirected,1
custodia,civitas,Undirected,1
clauis,porta,Undirected,1
clauis,civitas,Undirected,1
clauis,additio,Undirected,1
porta,civitas,Undirected,1
porta,additio,Undirected,1
porta,tractatus,Undirected,1
civitas,additio,Undirected,1
civitas,tractatus,Undirected,1
civitas,iohannis,Undirected,1
additio,tractatus,Undirected,1
additio,iohannis,Undirected,1
additio,montanus1,Undirected,1
tractatus,iohannis,Undirected,1
tractatus,montanus1,Undirected,1
tractatus,authoritas,Undirected,1
iohannis,montanus1,Undirected,1
iohannis,authoritas,Undirected,1
iohannis,magnus,Undirected,1
montanus1,authoritas,Undirected,1
montanus1,magnus,Undirected,1
montanus1,consilium,Undirected,1
authoritas,magnus,Undirected,1
authoritas,consilium,Undirected,1
magnus,consilium,Undirected,1
repetitio,pandectes,Undirected,1
repetitio,pars,Undirected,1
repetitio,primus,Undirected,1
pandectes,pars,Undirected,1
pandectes,primus,Undirected,1
pandectes,infortiatum,Undirected,1
pars,primus,Undirected,1
pars,infortiatum,Undirected,1
pars,secundus1,Undirected,1
primus,infortiatum,Undirected,1
primus,secundus1,Undirected,3
primus,digestum,Undirected,1
infortiatum,secundus1,Undirected,1
infortiatum,digestum,Undirected,1
infortiatum,novus,Undirected,1
secundus1,digestum,Undirected,1
secundus1,novus,Undirected,1
secundus1,voco,Undirected,1
digestum,voco,Undirected,1
novus,voco,Undirected,1
consilium,responsum,Undirected,5
primus,primus,Undirected,1
primus,secundus,Undirected,2
primus,decretales,Undirected,1
secundus,secundus1,Undirected,1
secundus,decretales,Undirected,1
secundus,commentarius,Undirected,1
secundus1,decretales,Undirected,1
secundus1,commentarius,Undirected,1
secundus1,summaria,Undirected,1
decretales,commentarius,Undirected,1
decretales,summaria,Undirected,1
decretales,index,Undirected,1
commentarius,summaria,Undirected,1
commentarius,index,Undirected,1
commentarius,res,Undirected,1
summaria,index,Undirected,2
summaria,res,Undirected,1
summaria,verbum,Undirected,1
index,res,Undirected,1
index,verbum,Undirected,1
index,memorabilis,Undirected,1
res,verbum,Undirected,1
res,memorabilis,Undirected,1
res,locuples,Undirected,2
verbum,memorabilis,Undirected,1
verbum,locuples,Undirected,1
verbum,universus,Undirected,1
memorabilis,locuples,Undirected,1
memorabilis,universus,Undirected,1
memorabilis,materia,Undirected,1
locuples,universus,Undirected,1
locuples,materia,Undirected,1
locuples,complectere,Undirected,1
universus,materia,Undirected,1
universus,complectere,Undirected,1
materia,complectere,Undirected,1
decisio,capelle,Undirected,1
decisio,sedes,Undirected,1
decisio,archiepiscopalis,Undirected,1
capelle,sedes,Undirected,1
capelle,archiepiscopalis,Undirected,1
capelle,tolosa,Undirected,1
sedes,archiepiscopalis,Undirected,1
sedes,tolosa,Undirected,1
archiepiscopalis,tolosa,Undirected,1
casus1,summaria,Undirected,1
casus1,decretales,Undirected,1
casus1,clementina,Undirected,1
summaria,decretales,Undirected,1
summaria,clementina,Undirected,1
decretales,clementina,Undirected,1
coniectura,jus,Undirected,1
coniectura,civilis1,Undirected,1
coniectura,liber4,Undirected,1
jus,liber4,Undirected,1
jus,sex,Undirected,1
civilis1,liber4,Undirected,1
civilis1,sex,Undirected,1
civilis1,difficilis,Undirected,1
liber4,sex,Undirected,1
liber4,difficilis,Undirected,1
liber4,pleo,Undirected,1
sex,difficilis,Undirected,1
sex,pleo,Undirected,1
sex,locus,Undirected,1
difficilis,pleo,Undirected,1
difficilis,locus,Undirected,1
difficilis,novus,Undirected,1
pleo,locus,Undirected,1
pleo,novus,Undirected,1
pleo,emendatio,Undirected,1
locus,novus,Undirected,1
locus,emendatio,Undirected,1
locus,interpretatio,Undirected,1
novus,emendatio,Undirected,1
novus,interpretatio,Undirected,1
novus,explico,Undirected,1
emendatio,interpretatio,Undirected,1
emendatio,explico,Undirected,1
interpretatio,explico,Undirected,1
usus,feudum,Undirected,1
usus,collectaneus,Undirected,1
usus,quodam,Undirected,1
feudum,collectaneus,Undirected,1
feudum,quodam,Undirected,1
feudum,modo,Undirected,1
collectaneus,quodam,Undirected,1
collectaneus,modo,Undirected,1
collectaneus,methodicus,Undirected,1
quodam,modo,Undirected,1
quodam,methodicus,Undirected,1
quodam,tyronis,Undirected,1
modo,methodicus,Undirected,1
modo,tyronis,Undirected,1
modo,jus,Undirected,1
methodicus,tyronis,Undirected,1
methodicus,jus,Undirected,1
methodicus,disciplina,Undirected,1
tyronis,jus,Undirected,1
tyronis,disciplina,Undirected,1
tyronis,verso,Undirected,1
jus,disciplina,Undirected,1
jus,verso,Undirected,1
jus,inutilis,Undirected,1
disciplina,verso,Undirected,1
disciplina,inutilis,Undirected,1
disciplina,nonnulla,Undirected,1
verso,inutilis,Undirected,1
verso,nonnulla,Undirected,1
verso,homagium,Undirected,1
inutilis,nonnulla,Undirected,1
inutilis,homagium,Undirected,1
inutilis,opus1,Undirected,1
nonnulla,homagium,Undirected,1
nonnulla,opus1,Undirected,1
nonnulla,praefatio,Undirected,1
homagium,opus1,Undirected,1
homagium,praefatio,Undirected,1
homagium,subditus,Undirected,1
opus1,praefatio,Undirected,1
opus1,subditus,Undirected,1
opus1,accedo,Undirected,1
praefatio,subditus,Undirected,1
praefatio,accedo,Undirected,1
praefatio,quotidianus,Undirected,1
subditus,accedo,Undirected,1
subditus,quotidianus,Undirected,1
subditus,usuuenientia,Undirected,1
accedo,quotidianus,Undirected,1
accedo,usuuenientia,Undirected,1
accedo,titulus,Undirected,1
quotidianus,usuuenientia,Undirected,1
quotidianus,titulus,Undirected,1
quotidianus,codex,Undirected,1
usuuenientia,titulus,Undirected,1
usuuenientia,codex,Undirected,1
usuuenientia,justinianus,Undirected,1
titulus,codex,Undirected,1
titulus,justinianus,Undirected,1
titulus,jus,Undirected,1
codex,justinianus,Undirected,1
codex,jus,Undirected,1
codex,emphyteuticus,Undirected,1
justinianus,jus,Undirected,1
justinianus,emphyteuticus,Undirected,1
justinianus,succingo,Undirected,1
jus,emphyteuticus,Undirected,1
jus,succingo,Undirected,1
jus,dilucidus,Undirected,1
emphyteuticus,succingo,Undirected,1
emphyteuticus,dilucidus,Undirected,1
emphyteuticus,enarratio,Undirected,1
succingo,dilucidus,Undirected,1
succingo,enarratio,Undirected,1
dilucidus,enarratio,Undirected,1
enchiridion,conclusio,Undirected,1
enchiridion,regula,Undirected,1
enchiridion,jus,Undirected,1
conclusio,regula,Undirected,1
conclusio,jus,Undirected,1
conclusio,dono,Undirected,1
regula,jus,Undirected,1
regula,dono,Undirected,1
jus,dono,Undirected,1
communis,conclusio,Undirected,1
decisio,pedemontanus,Undirected,1
decisio,caceserani,Undirected,1
decisio,parisiensis,Undirected,1
pedemontanus,caceserani,Undirected,1
pedemontanus,parisiensis,Undirected,1
caceserani,parisiensis,Undirected,1
maleficium,angelus,Undirected,1
maleficium,aretini,Undirected,1
maleficium,inquiro,Undirected,1
angelus,aretini,Undirected,1
angelus,inquiro,Undirected,1
angelus,animaduertere,Undirected,1
aretini,inquiro,Undirected,1
aretini,animaduertere,Undirected,1
aretini,crimen,Undirected,1
inquiro,animaduertere,Undirected,1
inquiro,crimen,Undirected,1
inquiro,opus1,Undirected,1
animaduertere,crimen,Undirected,1
animaduertere,opus1,Undirected,1
animaduertere,parvus,Undirected,1
crimen,opus1,Undirected,1
crimen,parvus,Undirected,1
crimen,utile,Undirected,1
opus1,parvus,Undirected,1
opus1,utile,Undirected,1
opus1,necessarius,Undirected,1
parvus,utile,Undirected,1
parvus,necessarius,Undirected,1
parvus,omne,Undirected,1
utile,necessarius,Undirected,1
utile,omne,Undirected,1
utile,contractus2,Undirected,1
necessarius,omne,Undirected,1
necessarius,contractus2,Undirected,1
necessarius,nonnullus,Undirected,1
omne,contractus2,Undirected,1
omne,nonnullus,Undirected,1
omne,alberti,Undirected,1
contractus2,nonnullus,Undirected,1
contractus2,alberti,Undirected,1
contractus2,gandino,Undirected,1
nonnullus,alberti,Undirected,1
nonnullus,gandino,Undirected,1
nonnullus,bonifacii_de_uitalinis,Undirected,1
alberti,gandino,Undirected,1
alberti,bonifacii_de_uitalinis,Undirected,1
alberti,apostolicus,Undirected,1
gandino,bonifacii_de_uitalinis,Undirected,1
gandino,apostolicus,Undirected,1
gandino,augustinus,Undirected,1
bonifacii_de_uitalinis,apostolicus,Undirected,1
bonifacii_de_uitalinis,augustinus,Undirected,1
bonifacii_de_uitalinis,ariminensis,Undirected,1
apostolicus,augustinus,Undirected,1
apostolicus,ariminensis,Undirected,1
apostolicus,hieronymus,Undirected,1
augustinus,ariminensis,Undirected,1
augustinus,hieronymus,Undirected,1
augustinus,chuchalo,Undirected,1
ariminensis,hieronymus,Undirected,1
ariminensis,chuchalo,Undirected,1
ariminensis,appendicum,Undirected,1
hieronymus,chuchalo,Undirected,1
hieronymus,appendicum,Undirected,1
hieronymus,sub-jacio,Undirected,1
chuchalo,appendicum,Undirected,1
chuchalo,sub-jacio,Undirected,1
appendicum,sub-jacio,Undirected,1
consilium,german*,Undirected,1
consilium,jus,Undirected,2
german*,responsum,Undirected,1
german*,jus,Undirected,1
german*,pars,Undirected,1
responsum,pars,Undirected,1
responsum,celeber,Undirected,1
jus,pars,Undirected,1
jus,celeber,Undirected,1
jus,academia,Undirected,1
pars,celeber,Undirected,1
pars,academia,Undirected,1
pars,clarus,Undirected,1
celeber,academia,Undirected,1
celeber,clarus,Undirected,1
celeber,german*,Undirected,1
academia,clarus,Undirected,1
academia,german*,Undirected,1
academia,iurisconsultus,Undirected,1
clarus,german*,Undirected,1
clarus,iurisconsultus,Undirected,1
clarus,volo1,Undirected,1
german*,iurisconsultus,Undirected,1
german*,volo1,Undirected,1
german*,conscribo,Undirected,1
iurisconsultus,volo1,Undirected,1
iurisconsultus,conscribo,Undirected,1
iurisconsultus,necdum,Undirected,1
volo1,conscribo,Undirected,1
volo1,necdum,Undirected,1
volo1,publicus,Undirected,1
conscribo,necdum,Undirected,1
conscribo,publicus,Undirected,1
conscribo,editus,Undirected,1
necdum,publicus,Undirected,1
necdum,editus,Undirected,1
necdum,tomus,Undirected,1
publicus,editus,Undirected,1
publicus,tomus,Undirected,1
publicus,duo,Undirected,1
editus,tomus,Undirected,1
editus,duo,Undirected,1
tomus,duo,Undirected,1
commentarius,varius1,Undirected,1
commentarius,resolutio,Undirected,1
commentarius,jus,Undirected,2
varius1,resolutio,Undirected,1
varius1,jus,Undirected,1
varius1,civilis1,Undirected,1
resolutio,jus,Undirected,1
resolutio,civilis1,Undirected,1
resolutio,communis,Undirected,1
jus,regius,Undirected,1
civilis1,communis,Undirected,1
civilis1,regius,Undirected,1
civilis1,tomus,Undirected,1
communis,regius,Undirected,1
communis,tomus,Undirected,1
communis,tres,Undirected,1
regius,tomus,Undirected,1
regius,tres,Undirected,1
tomus,tres,Undirected,1
decisio,sacer,Undirected,1
decisio,regius,Undirected,1
decisio,consilium,Undirected,1
sacer,regius,Undirected,1
sacer,consilium,Undirected,1
sacer,neapolitanus,Undirected,1
regius,consilium,Undirected,1
regius,neapolitanus,Undirected,1
regius,excello,Undirected,1
consilium,neapolitanus,Undirected,1
consilium,excello,Undirected,1
consilium,vis,Undirected,1
neapolitanus,excello,Undirected,1
neapolitanus,vis,Undirected,1
neapolitanus,regius,Undirected,1
excello,vis,Undirected,1
excello,regius,Undirected,1
excello,consiliarius,Undirected,1
vis,regius,Undirected,1
vis,consiliarius,Undirected,1
vis,collectus,Undirected,1
regius,consiliarius,Undirected,1
regius,collectus,Undirected,1
regius,matthaeus,Undirected,1
consiliarius,collectus,Undirected,1
consiliarius,matthaeus,Undirected,1
consiliarius,affligo,Undirected,1
collectus,matthaeus,Undirected,1
collectus,affligo,Undirected,1
collectus,antonio,Undirected,1
matthaeus,antonio,Undirected,1
matthaeus,capycio,Undirected,1
affligo,antonio,Undirected,1
affligo,capycio,Undirected,1
affligo,thoma,Undirected,1
antonio,capycio,Undirected,1
antonio,thoma,Undirected,1
antonio,grammaticus,Undirected,1
capycio,thoma,Undirected,1
capycio,grammaticus,Undirected,1
capycio,nunc,Undirected,1
thoma,nunc,Undirected,1
thoma,posterus,Undirected,1
grammaticus,nunc,Undirected,1
grammaticus,posterus,Undirected,1
grammaticus,editio,Undirected,1
nunc,posterus,Undirected,1
nunc,editio,Undirected,1
nunc,diligens,Undirected,1
posterus,editio,Undirected,1
posterus,diligens,Undirected,1
posterus,recognitus,Undirected,1
editio,diligens,Undirected,1
editio,recognitus,Undirected,1
diligens,recognitus,Undirected,1
canonicus,decretum,Undirected,1
jus,decretum,Undirected,1
jus,divus,Undirected,1
glossa,decretum,Undirected,1
glossa,divus,Undirected,1
glossa,gratianus,Undirected,1
decretum,divus,Undirected,1
decretum,gratianus,Undirected,1
decretum,totus1,Undirected,1
divus,gratianus,Undirected,1
divus,totus1,Undirected,1
divus,propemodum,Undirected,1
gratianus,totus1,Undirected,1
gratianus,propemodum,Undirected,1
gratianus,compendium,Undirected,1
totus1,propemodum,Undirected,1
totus1,compendium,Undirected,1
