Keyser Carols des Fünfften und des Heyligen Römischen Reichs peinlich [Hals] Gerichts-Ordnung :,13,kaiser carolus fünffte heilig roma reich peinlich hals gericht ordnung,10
Kurtze Hess Hanauische Hoff und Ehe-Gerichts Ordnung 17. Jan 1747,10,hesse hanau hof ehe gericht ordnung ia,7
Leges academicae a studiosis in Regia Fridericiana observanda,8,lex academicus studiosus regius fridericus observo,6
Mehrere Abhandlungen ueber die von Kuerfuersten zu Mainz 1781 daselbst aufgehobenen Kloester,12,abhandlung kurfürst mainz aufheben kloster,5
Monumenta sepulchorum et memorabilium nominum,5,monumentum sepulchorum memorabilis nomen,4
Nassau Catzenelnbogische Polizey-Ordnung,3,nassau catzenelnbogen polizei ordnung,4
Negotiations secrètes touchant la paix de Munster et d'Osnabrug,9,negotiations secrètes touchant paix munster dosnabrug,6
"""Quinque libri legis : Genesis, Exodus, Leuiticus, Numeri, Deuteronomium = Hamisah humse torah""",13,liber4 lex genesis exodus leviticus numerus deuteronomium hamisah humse torah,10
Reichs Abschied de 1654,4,reich abschied,2
"""Reichs Abschied de an 1600, 1603 und 1613 ungebunden""",9,reich abschied ungebunden,3
"""Reichs Abschiede (Abschiedt Der Römischen Keyserlichen Maiestatt, vnnd gemeiner Ständt, auff dem Reichßtag zu Augspurg, Anno Domini M.D. LXVI. auffgericht)""",20,reich abschied abschied roma kaiser maiestas gemein stand reich tag augsburg annum dominus md lxui aufgericht,16
"""Reichs Abschiede (Aller des heiligen Römischen Reichs gehaltener Reichsztäg, Ordnungen und Abschiedt, sampt der Gülden Bull: besonder auch der Artikel, Policey, Constitutionem, das Kayserlich Regiement, Cammergericht, den Landfrieden und anders von 1356-1582)""",32,reich abschied heilig roma gehalten reich tag ordnung abschied sammt golden bull besonder artikel polizei constitutio kaiser regiement cammer gericht land fried,22
Samlung der beim Rechshofrath ergangenen Gemeinen Bescheiden,7,sammlung reich hof rat ergehen gemein bescheid,7
Selecta Juris Publici,3,selecta jus publicus,3
"""Stadt Frankfurt Privilegia der Juden daselbst Saettigkeit und Ordnung; Abschieds-Puncten zwischen Rath und Burgerschaft, 1614; Gefaehrlicher Uffstand daselbst""",18,stadt frankfurt privilegium iudaeus saettigkeit ordnung abschied punct rat burgerschaft gefaehrlich aufstand,12
Statuta et rescripta Imperialia,4,statutum rescribo imperium,3
Theater d[] lomeilles,3,theater lomeilles,2
Tractatus de finibus regundis,4,tractatus finis rego,3
Untergerichtsordnung,1,untergerichtsordnung,1
"""Wechselordnungen [Hanau?] de 1737, 1740, 1771 und 1773""",8,wechsel ordnung hanau,3
De Schonburg der Mg inne Lusten Geopent door Aloisia sigea van Toledo erse Seel 12 getreffe,16,schonburg mg inne luste geopent door aloisia sigea ua toledo erse seel getreffe,13
"""Institutiones (Institutiones emendatae: cum reliqua iuris diexodo, ad optimi cuiusque archetypi anagnosin, ex antiquissimis Italiae, & Galliaru[m] bibliothecis, maximè vero ex venerabilis Auenion. Collegii archeio conquisitam ... Accessit Corpus legum, nunc primùm, & nunquam antehac, editum, et Instituta T. Caii clarissimi iuriscons. ex intermortuis, rediuiua)""",45,institutio emendatus reliquus jus diexodo bonus archetypi anagnosus antiquus italia gallia bibliotheca maximè venerabilis auenius collegium archeio conquaero accedo corpus lex nunc primùm numquam antehac editus institutio gaius clarus iurisconsultus intermorior redivivus,32
Digestum vetus Justiniani,3,digestum vetus justinianus,3
"""Neues Lehrgebäude der Diplomatik, welches in Frankreich von einigen Benedictinern von der Congregation des heil. Mauri ausgefertiget worden""",18,neu lehrgebäude diplomatik frankreich benedictinus congregatio heilig maurus ausgefertiget,9
"""Tractatus de testibus es multorum scriptis non sine maximis laboribus collectus, ac distributus per locos communes secundum ordinem alphabeti : opvs novvm, in qvo materia de testibus non solum exacte, sed etiam iusto, atque hactenus nunquam viso ordine tractatur .... 1, Continens eos tantvm de testibvs locos communes, qui sub duabus literis A & B...""",55,tractatus testis1 multi scriptus sino magnus labor2 collectus distribuo locus communis secundus1 ordo alphabetus opus1 novus materia solus1 exact justus numquam video ordo tracto contineo tantus duo littera,28
Decisiones s. Regii Neapolitani Consilii,5,decisio regius neapolitanus consilium,4
De feudis,2,feudum,1
Corpus constitutionum imperialium,3,corpus constitutio imperium,3
Einleitung zur eherstl Historie,4,einleitung eherstl historia,3
Consilia,1,consilium,1
Dictionnaire historique et critique,4,dictionnaire historia criticus,3
