Ad Consuetudines Flandriae,3,consuetudo flandriae,2
Histoire du Roy Louis le Grand: par les Medailles,9,histoire roy louis grand par medailles,6
Evangl. Predigens,2,euangelistus predigt,2
Bibliotheca Realis Theologica Omnium Materium,5,bibliotheca realis theologicus omne materium,5
De Verborum Quae Ad Ius Pertinent Significatione,7,verbum jus pertineo significatio,4
Annotationes Biblicae,2,annotatio biblia,2
Eros Lipsicus,2,erus lipsicus,2
Insignia Turcica,2,insigne turcus,2
De Oraculis Ethnicorum,3,oraculum ethnicus,2
Episcopus Miles in Veteri Ecclesia Invisus,6,episcopus miles vetus ecclesia invideo,5
Fides et leges Mohamedis,4,fides1 lex mohamedis,3
De Arthritide Libri Duo: De Sanguine et Ejus Sero,9,arthritide liber4 duo sanguis sero1,5
De Antiquo Statu Thuringiae,4,antiquus status thuringia,3
Grammatica Linguae Hebraeae,3,grammatica lingua hebraeus,3
Physica Aeque Ac Historia De Glossopetris Luneburgensibus,7,physica1 aequus historia glossopetris luneburgica,5
Privilegia Universitatum,2,privilegium universitas,2
Orationes Duae: De Dignitate Academiarum et De Literariis Gradibus,9,oratio duo dignitas academicus littera gradus,6
Comitis Epistola (Mirandulae Domini Concordiaeque Comitis Strix),7,comitus epistula mirandulae dominus concordia1 strix,6
Epitome Astronomiae,2,epitome astronomia,2
"""De Alea Veterum, Opusculum Posthumum""",5,alea vetus opusculum postumus,4
Compendium Prosodiae Graecae,3,compendium prosodia graecus,3
De Quietistarum Persecutionibus,3,quietistus persecutio,2
Historia Transubstantationis Papalis,3,historia transubstantatio papa,3
Viridarium Spiritus Sancti,3,uiridarium spiritus sancio,3
Hodegeta Didacticus Syriacus,3,hodegeta didacticus syriacus,3
Ortus et Occasus Calculi Renum,5,orior occido2 calculus renum,4
Moderni Status Sacri Romani Imperii,5,modernus status sacer roma imperium,5
"""Ellychnia Accensa Ad Melius Lumen suae """"Lucernae De Moderno Sacri Romani Imperii Statu""""""",13,ellychnium accendo2 bonus lumen lucerna modernus sacer roma imperium status,10
Fontes Juris Publici Romano-Germanici,4,fons jus publicus romanus german*,5
Christiani Orbis Perspicillum,3,christianus orbus perspicillum,3
Opuscula Juridica Illustriarum Materiarum,4,opusculum iuridicus illustris materia,4
Decision,1,decisio,1
Roma Nova,2,roma novus,2
Tractatus De Feudis,3,tractatus feudum,2
Libri Duo De Substitutione Pupillari,5,liber4 duo substitutio pupillo,4
Tractat De Beneficiis Ecclesiasticis,4,tractatus beneficium ecclesiastes,3
Imperator Justinianus Magnus,3,imperator justinianus magnus,3
Anatomia Corporis Humani,3,anatomia corpus humanus,3
"""De Usu Lienis, Cerebri Et De Ichoribus""",7,usus lienis cerebrum ichoribus,4
Respublica Hebraeorum,2,respublica hebraeus,2
Thalia Alcmariana,2,thalia alkmaar,2
Beschreibung Des Kriegs Zwischen Den Nordischn Crown,7,beschreibung krieg nordisch crow,4
Hodegeticum Pestilentiale Sacrum,3,hodegeta pestilentialis sacer,3
Papista Incertus Oder Ungewißheit Der Römische Catholischen,7,papa incertus ungewißheit roma catholische,5
Hypnologia: Fragen und Antworten von dem Schlaf,7,hypnologia frage antwort schlaf,4
Odhelii Synagoga Bifrons,3,odhelii synagoga bifrons,3
Teutsche Bibel,2,deutsch biblia,2
Decisiones Cathalonia,2,decisio cathalonia,2
Ephemerides,1,ephemeris,1
Unterricht von den Pflichten Christlicher Schullehrer,6,unterricht pflichte christlich schullehrer,4
Ephemeridum Medico,2,ephemeris medicus,2
De Gradibus Academicis,3,gradus academicus,2
De Legationibus Statuum Imperii,4,legatio status imperium,3
De Feudis Imperii,3,feudum imperium,2
Thesaurus Criticus,2,thesaurus criticus,2
Chronica,1,chronicon,1
Gothofredi Immo,2,gothofredus immo,2
Wappenbuch (Part 5 and 6),5,wappenbuch,1
Historiam Aethiopicam,2,historia aethiopicus,2
Dissertationes Philologicae De Decem Otiosis Synagogae,6,dissertatio philologicus otiosus synagoga,4
"""Ad Generosam Ac Praenobilem Holzhusiorum Gentem De Vero Mortis Genere, ex quo Henricus VII""",14,generosus praenobilis holzhausen gens mors gener henricus,7
Syntagma Historicum De Gunthero Schwartzburg,5,syntagma historicus guntherus schwartzburg,4
Historiam Principum Anhaltinorum,3,historia princeps anhalt,3
Pausaniae Graeciae Descriptio Accurata,4,pausanias graecus descriptio accuratus,4
Consilia,1,consilium,1
Ruth Moabitis: Zwey and Sechzig Predigten,6,ruth moabites sechzig predigt,4
Zwantzig Ursachen,2,zwantzig ursache,2
"""Niederlegung der Nichtigen Widerlegung Bernhardi Waldschmids, Kraft Deren Er Die 20 Zwantzig Ursachen""",13,niederlegung nichtige widerlegung bernhardus waldschmid kraft zwantzig ursache,8
Kedd Vertiginosus,2,kedd uertiginosus,2
Abtrückung der Keddischen Genannten Schmidslaug,5,abdruck keddische genannt schmidtslaug,4
Acht Christliche Juden-Predigten,3,acht christlich iudaeus predigt,4
Trias Concionum Singularium,3,concio singularis,2
Trias Concionum Singularium Altera,4,concio singularis alter,3
Friedens Leben,2,frieden lebe,2
Zwölf Christliche Leichpredigten,3,christlich leichpredigt,2
"""Der Weitberühmten Freyen Reichs-, Wahl-, und Handels-Stadt Frankfurt am Mayn Chronica""",11,weitberühmt frei reich wahl handel stadt frankfurt may chronicon,9
Schmidtslaug,1,schmidtslaug,1
De Gradibus Academicis,3,gradus academicus,2
Biblicarum Historiarum Tabula Geographica,4,biblia historia tabula geographia,4
Panegyricus Ludovico XIV,3,panegyricus ludouicus xiu,3
"""Solemnia Gratulationis Ad Augustum II, Regem Poloniarum""",7,solemnis gratulatio augustus1 rex polonia,5
Compendium Geographicum Praecipua Geographiae Tam Generalis,6,compendium geographia praecipuus geographia generalis,5
Commentarius de Abusu Tabaci Americanorum Veteri,6,commentarius abusus tabaci americanus vetus,5
Miscellanearum Observationum Libri Quator,4,miscellanearum obseruatio liber4,3
Epitome Historiae Ecclesiasticae,3,epitome historia ecclesiastes,3
In Dreissig Leichpredigten,3,dreissig leichpredigt,2
"""Jurisprudentia Qua Publica, Qua Privata""",5,iurisprudentia publicus priuatus,3
Belehrung der Jüdisch-Teutschen Red- und Schreibart,6,belehrung iüdisch deutsch red schreibart,5
Anleitung zu Gründlicher Verständniß der Heiligen Offenbahrung Jesu Christi,9,anleitung gründlich uerständniß heilig offenbahrung iesus christus,7
Trifolium Hebraeo-Philologicum,2,trifolium hebraeus philologicus,3
Deliciae Hebraeo-Philologicae,2,delicia hebraeus philologicus,3
Compendium Historiae Judaicae,3,compendium historia iudaeus,3
Bibliotheca Carpzoviana,2,bibliotheca carpzov,2
Historia Gothana,2,historia gothana,2
