"""Decisiones sacri regii consilii Neapolitani, ab excellent. viris... ejusdem sacri consilii regiis consiliariis collectae, Matthaeo de Afflictis, Antonio Capycio, Thoma Grammatico, nunc demum hac postrema editione diligentius recognitae""",28,decisio sacer regius consilium neapolitanus excello vis regius consiliarius collectus matthaeus affligo antonio capycio thoma grammaticus nunc posterus editio diligens recognitus,21
"""Corpus canonici juris cum glossa (Decretum Divi Gratiani, Totius Propemodum Iuris Canonici Compendium, summorúmque pontificum decreta atque praeiudicia, unà cum variis scribentium glossis et expositionibus: Quae omnia pristino suo nitori restituta fuerunt ad fidem veterum codicûm?)""",36,corpus canonicus jus glossa decretum divus gratianus totus1 propemodum compendium summa pontifex decretum praejudicium varius1 scribo glossa expositio omne pristinus1 suo nitor restituo fides1 vetus codex,26
Decretum,1,decretum,1
Syntagma juris universi Petr Greg Tholosani,6,syntagma jus universus petrus greg tolosa,6
(s.t.),1,st,1
Opera,1,opus1,1
Opera,1,opus1,1
Vocabularius utriusque juris,3,uocabularius utriusque jus,3
Decisiones Sev Diffinitiones Cavsarum Pervsinarum & Prouinciae Umbriae,8,decisio diffinitiones causa perusina provincialis umbria,6
Opera,1,opus1,1
Practica criminalis,2,practicus criminalis,2
De probationibus,2,probatio,1
"""Decisiones dominorum de rota novae, antiquae et antiquiores""",8,decisio dominus roto novus antiquus antiquus,6
Observationes,1,obseruatio,1
Classes actionum,2,classis actio,2
"""Consilia sive responsa : Cum Summarijs, & Indice locupletissimo""",9,consilium responsum summaria index locuples,5
"""Consilia : aurea quidem sunt haec ac pene divina responsa: ut quibus utriusque iuris sive ad praxim ambiguitates explicantur, demumque in totius Reipublicae summam gratiam determinantur""",26,consilium aureus penum divinus responsum utriusque jus praxis ambiguitas explico totus1 respublica summa gratia determinare,15
Tractatus feudales,2,tractatus feudum,2
"""Decisiones... ex causis tam per ipsum : quam per alios dn. auditores rotae, in eodem Sacro Palatio relatis : collectae, et in tres Libros diuisae""",25,decisio causa alius2 auditor rota sacro palatium refero collectus tres liber4 divido,12
Commentara in tit Dig de verborum et rerum significatione,9,commentaria titulus digestum verbum res significatio,6
Commentaria in constitvtiones sev ordinationes regias [cura Audomari_Rebuffo],8,commentarius constitutio ordinatio regia curo audomari_rebuffo,6
"""In Privilegia & immunitates vniuersitatum Doctorum, Magistrorum ac Studiosorum, commentationes enucleatissimæ. Eivsdem, In Avthent. Habita, C. Ne filius pro patre, dilucida explanatio""",22,privilegium immunitas universitas doctor magister studiosus commentatio enucleare authenticus habeo filius pater dilucidus explanatio,14
Tractatus concordatorum : Quae inter sanctiss. D. nostrum papam Leonem decinum et sedem apostolicam ... sunt edita,17,tractatus concordatum sanctus noster papa leo2 decinum sedo apostolicus editus,10
Praxis beneficiorum,2,praxis beneficus,2
Commentaria in Digestum vetus et Codicem,6,commentarius digestum vetus codex,4
Consilia,1,consilium,1
Commentaria ad jus civile,4,commentarius jus civilis1,3
Fascicul[i] temporis,2,fasciculus tempus,2
"""Consilia : Rerum summis, ac locupletissimo indice illustrata""",8,consilium res summus locuples index illustratio,6
Opera,1,opus1,1
Consilia seu responsa iuris,4,consilium responsum jus,3
Super Decretales tractatus,3,decretales tractatus,2
Opera,1,opus1,1
Praelectiones de acquirenda possessione et usucapione de verb obligat,9,praelectio acquierer possessio usucapio2 verbum obligo,6
Opera omnia,2,opus1 omne,2
(s.t.),1,st,1
Consilia,1,consilium,1
Consilia sive responsa,3,consilium responsum,2
Tractatus de successionibus,3,tractatus successio,2
